trackNum,lifetime,max_intensity,background,totaldisp,max_msd,catIdx,aux,avg_rise,avg_dec,risevsdec,avg_mom_rise,avg_mom_dec,risevsdec_mom
1-150,2,1136.598915278403,1432.975298730196,1.8690089214281516,3.493194348378023,1,0,441.38677980852145,-432.6680595718646,0.8333333333333334,704.6448533182388,-921.3300910574791,1.5
1-151,208,4025.800066362312,1599.8875397557417,2.516054046398705,0.9179308151377007,1,1,236.10236829495557,-305.555905099605,1.2842105263157895,449.1064784727977,-432.88157799203094,0.9636363636363636
1-153,7,855.9023698172853,1259.4853311164652,3.3308047062178363,11.094259990962886,1,0,149.73166119304278,-243.10307241618054,1.2857142857142858,226.3588682877766,-436.374316498962,2.0
1-154,4,527.3458141104562,1247.160035236065,3.5623419962966847,12.69028049857905,1,0,140.33493863190265,-321.1990942655637,2.25,286.623312069647,-367.7444381373989,1.4
1-155,4,974.7323619363513,1543.2458786223003,2.0694003573464452,4.2824178389855945,1,0,280.0601777791666,-448.16516198316486,1.6,573.2541277930459,-519.7165838853842,0.7142857142857143
1-156,2,447.91837614472684,1186.3285873657373,0.7769323776059864,0.6036239193724912,1,0,191.9134546233927,-221.15726706398402,0.8333333333333334,411.50688607073624,-325.5998000201776,1.0
1-157,3,329.8456461284833,1155.3255026791105,1.3522184694762283,5.332243503696914,1,0,197.6595813916884,-276.64533222252777,1.4,365.01486819906603,-532.347314092275,1.75
1-159,2,1078.0447685964377,1506.7022231615265,2.0487657125430863,4.197440944892181,1,0,403.57836158088077,-336.7386140198129,0.8333333333333334,457.42631677094033,-629.111376859363,1.5
1-160,2,1076.936904990219,1338.0030000283502,1.4774188018703303,2.182766316119962,1,0,390.9450435826514,-439.1348148433146,1.2,688.1833032838424,-638.9429901477864,1.0
1-163,3,770.128364837462,1314.3105420106165,2.238011638183467,5.008696092644645,1,0,276.77215125572263,-334.01833028241936,2.0,496.44138818669836,-570.349344515041,1.2
1-165,23,821.4649540468458,1343.78341786615,1.3601893800637064,3.173431073914736,1,0,171.33667708013311,-183.79530920228754,1.0,270.25405480470164,-293.2188843242308,1.0666666666666667
1-169,2,1593.8842868469917,1349.8435233130438,1.934922912887295,3.7439266788162544,1,0,319.8713848460737,-326.90599171874317,1.2,531.4512308978345,-557.9396147298164,1.0
1-172,10,560.2749100162941,1199.1836360733375,2.646795041932987,7.0055239940010425,1,0,182.77462302322695,-215.83991806259027,1.1111111111111112,366.1134097078067,-339.89351150551505,1.0
1-173,2,542.6223982434129,1194.0786639420473,2.7517261187492186,7.5719966326066395,1,0,156.69667248943964,-137.2167763435248,0.8333333333333334,262.2582076620222,-233.16372466585304,1.0
1-174,4,768.1945148095929,1474.1957685703887,4.409208354837717,19.44111831637073,1,0,261.3165576314979,-217.79265827192773,1.1666666666666667,470.0511735625966,-371.0009323591926,0.7142857142857143
1-181,2,876.8855520656441,1629.3900854435788,1.6368140179146182,2.679160129241796,1,0,257.1644159718619,-387.4756329981973,1.75,436.7714871688618,-616.1650635165481,1.5
1-182,2,450.20302123240094,1297.4529083892496,0.9385575164780504,0.880890211737446,1,0,196.65140570133494,-242.38646900286054,0.8333333333333334,343.4426118207956,-326.2345553091958,1.0
1-183,2,1069.0661135513874,1368.060684960946,1.9572045932633584,3.830649819891188,1,0,303.45095019088586,-302.56290328861945,0.8333333333333334,568.0600407128253,-443.18619747817047,0.6666666666666666
1-184,10,1469.9442183469364,1543.929809686705,2.915701276146855,8.501313931724399,1,0,323.5286303835695,-326.9496640636443,1.7142857142857142,502.97969233704345,-427.0029697871951,1.0
